Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
Counter-Strike: Global Offensive,"Aug 21, 2012",Very Positive,88,7151885,$19.99,$65.70,167,No Rating,N,N
Dead by Daylight,"Jun 14, 2016",Very Positive,80,475404,$34.99,$7.99,221,Mature,N,N
Tom Clancy's Rainbow Six® Siege,"Dec 1, 2015",Very Positive,86,953798,$39.99,$53.95,0,Mature,N,N
Wartales,"Apr 12, 2023",Very Positive,91,11829,59.99,$26.24,115,No Rating,N,N
Age of Empires IV: Anniversary Edition,"Oct 28, 2021",Very Positive,86,36861,9.99,$23.99,109,Teen,N,N
Total War: WARHAMMER III,"Feb 16, 2022",Mostly Positive,73,49388,0.00,0,106,Teen,N,N
Black Desert,"May 24, 2017",Mostly Positive,76,46802,39.99,0,0,Teen,N,N
Yu-Gi-Oh! Master Duel,"Jan 18, 2022",Mostly Positive,76,59298,9.99,0,11,Teen,N,N
Europa Universalis IV,"Aug 13, 2013",Very Positive,86,79189,24.99,$89.95,354,Teen,N,N
Minecraft Legends,"Apr 18, 2023",Mixed,62,1189,0.00,0,30,Everyone 10+,N,N
Wildfrost,"Apr 12, 2023",Mostly Positive,73,3318,$29.99,$23.38,16,No Rating,N,N
Crab Champions,"Apr 1, 2023",Overwhelmingly Positive,98,6624,19.99,0,56,No Rating,N,Y
Dota 2,"Jul 9, 2013",Very Positive,82,1968277,0.00,$65.70,0,No Rating,N,N
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,"Apr 13, 2023",Mixed,62,2626,$49.99,0,0,Teen,Y,N
SMITE®,"Sep 8, 2015",Mostly Positive,79,108550,0.00,0,311,Teen,N,N
Total Conflict: Resistance,"Apr 21, 2023",Very Positive,81,100,0.00,$26.99,27,No Rating,N,Y
Europa Universalis IV: Domination,"Apr 18, 2023",Mixed,60,306,$10.99,0,0,Teen,Y,N
Deceive Inc.,"Mar 21, 2023",Very Positive,88,1666,$19.99,$29.99,36,No Rating,N,N
Stellaris,"May 9, 2016",Very Positive,88,103127,19.99,$89.95,163,Everyone 10+,N,N
RimWorld,"Oct 17, 2018",Overwhelmingly Positive,98,133678,$19.99,$99.96,0,No Rating,N,N
Crusader Kings III,"Sep 1, 2020",Very Positive,92,58251,29.99,$35.01,97,No Rating,N,N
Albion Online,"Jul 17, 2017",Mostly Positive,79,58541,0.00,0,147,No Rating,N,N
DCS World Steam Edition,"Mar 18, 2018",Very Positive,86,27455,14.99,$24.99,0,No Rating,N,N
Bloons TD 6,"Dec 17, 2018",Overwhelmingly Positive,97,219651,$39.99,$63.80,146,No Rating,N,N
Cities: Skylines,"Mar 10, 2015",Very Positive,93,169125,$19.99,$80.74,124,Everyone,N,N
PUBG: BATTLEGROUNDS,"Dec 21, 2017",Mixed,57,2167676,$19.99,0,37,Teen,N,N
Hell Let Loose,"Jul 27, 2021",Very Positive,88,61931,$17.99,$67.42,158,No Rating,N,N
Guild Wars 2,"Aug 23, 2022",Very Positive,88,8804,29.99,$99.97,0,Teen,N,N
Star Trek Online,"Feb 2, 2010",Mostly Positive,78,17685,$34.99,0,0,Teen,N,N
Volcano Princess,"Apr 20, 2023",Overwhelmingly Positive,98,1084,0.00,$9.34,230,No Rating,N,N
Hearts of Iron IV,"Jun 6, 2016",Very Positive,92,163052,24.99,$171.76,171,No Rating,N,N
Age of Empires II: Definitive Edition,"Nov 14, 2019",Very Positive,94,107623,35.00,$13.39,237,Teen,N,N
Raft,"Jun 20, 2022",Very Positive,93,224629,$79.99,0,104,No Rating,N,N
Squad,"Sep 23, 2020",Very Positive,87,98483,0.00,$72.23,0,No Rating,N,N
Hush Hush - Only Your Love Can Save Them,"Apr 20, 2023",Overwhelmingly Positive,95,738,0.00,$17.99,39,No Rating,N,N
GROUND BRANCH,"Aug 14, 2018",Very Positive,91,11610,$14.99,0,0,No Rating,N,Y
MARVEL SNAP,"Oct 18, 2022",Very Positive,87,13132,$19.99,0,0,No Rating,N,Y
Sid Meier’s Civilization® VI,"Oct 20, 2016",Very Positive,85,189329,59.99,$98.70,307,Everyone 10+,N,N
FOR HONOR™,"Feb 13, 2017",Mixed,69,77765,59.99,0,0,Mature,N,N
