Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
STAR WARS™: Squadrons,"Oct 1, 2020",Mostly Positive,70,21075,0.00,$5.99,47,Teen,N,N
Age of Empires III: Definitive Edition,"Oct 15, 2020",Very Positive,82,28518,$24.99,$4.99,88,Teen,N,N
Transistor,"May 20, 2014",Very Positive,94,26062,19.99,$3.99,33,Teen,N,N
PlateUp!,"Aug 4, 2022",Overwhelmingly Positive,95,8602,$29.99,$10.79,26,No Rating,N,N
Planet Zoo,"Nov 5, 2019",Very Positive,90,56839,$39.99,$158.80,38,Everyone 10+,N,N
Space Engineers,"Feb 28, 2019",Very Positive,89,78544,$44.98,$70.42,30,No Rating,N,N
Satisfactory,"Jun 8, 2020",Overwhelmingly Positive,97,111474,0.00,0,0,No Rating,N,Y
Barotrauma,"Mar 13, 2023",Very Positive,93,32323,14.99,$26.24,69,No Rating,N,N
EVE Online,"May 6, 2003",Mostly Positive,74,30559,$19.99,0,0,Teen,N,N
7 Days to Die,"Dec 13, 2013",Very Positive,88,176201,49.99,0,43,Mature,N,Y
X4: Foundations,"Nov 30, 2018",Mostly Positive,76,13527,$11.99,$87.95,121,No Rating,N,N
RimWorld - Biotech,"Oct 21, 2022",Very Positive,93,2139,$29.99,$99.96,0,No Rating,Y,N
Factorio,"Aug 14, 2020",Overwhelmingly Positive,96,129754,4.99,0,38,No Rating,N,N
Marvel's Midnight Suns,"Dec 1, 2022",Very Positive,80,7805,$39.99,$39.99,72,Teen,N,N
PAYDAY 2,"Aug 13, 2013",Very Positive,90,400579,49.99,$19.63,1314,Mature,N,N
Arma 3,"Sep 12, 2013",Very Positive,90,155430,49.99,$219.96,121,Mature,N,N
War Robots,"Apr 5, 2018",Mixed,62,16970,29.99,0,0,No Rating,N,N
Wizard101,"Sep 2, 2008",Very Positive,81,5641,$19.99,0,0,Everyone 10+,N,N
Aliens vs. Predator™,"Feb 16, 2010",Very Positive,90,12195,0.00,$2.99,50,Mature,N,N
Cult of the Lamb,"Aug 11, 2022",Very Positive,93,42673,59.99,$29.98,37,Teen,N,N
theHunter: Call of the Wild™,"Feb 16, 2017",Very Positive,88,108618,$13.99,$53.90,164,Teen,N,N
Against the Storm,"Nov 1, 2022",Overwhelmingly Positive,95,9523,29.99,$14.99,50,No Rating,N,Y
Total War: WARHAMMER II,"Sep 28, 2017",Very Positive,93,80713,59.99,0,152,Teen,N,N
OCTOPATH TRAVELER II,"Feb 24, 2023",Overwhelmingly Positive,96,3758,0.00,0,33,Teen,N,N
Limbus Company,"Feb 26, 2023",Very Positive,85,9628,59.99,0,0,No Rating,N,N
Timberborn,"Sep 15, 2021",Overwhelmingly Positive,95,16744,$29.99,$19.99,0,No Rating,N,Y
