Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
NBA 2K23,"Sep 8, 2022",Mixed,63,21669,$79.99,$29.59,50,Everyone,N,N
EA SPORTS™ FIFA 23,"Sep 29, 2022",Mixed,51,84244,69.99,0,39,Everyone,N,N
Forza Horizon 4,"Mar 9, 2021",Very Positive,89,163255,$59.99,$19.79,178,Everyone,N,N
Disney Speedstorm,"Apr 18, 2023",Mixed,69,333,$199.98,$29.99,24,No Rating,N,Y
Forza Horizon 5,"Nov 8, 2021",Very Positive,88,105565,$99.99,$49.35,124,Everyone,N,N
WWE 2K23,"Mar 16, 2023",Mostly Positive,79,1183,9.99,$74.99,63,Teen,N,N
iRacing,"Jan 12, 2015",Very Positive,83,1625,$39.99,0,0,No Rating,N,N
TEKKEN 7,"Jun 1, 2017",Very Positive,81,57351,69.99,$5.99,42,Teen,N,N
EA SPORTS™ PGA TOUR™,"Apr 6, 2023",Mixed,54,447,39.99,0,18,Everyone,N,N
Assetto Corsa Competizione,"May 29, 2019",Very Positive,91,17037,59.99,0,0,Everyone,N,N
Disney Speedstorm - Standard Founder’s Pack,"Apr 18, 2023",not Enough Reviews,0,3,12.99,$29.99,0,No Rating,Y,N
Beat Saber,"May 21, 2019",Overwhelmingly Positive,96,62279,29.99,$15.00,26,No Rating,N,N
Madden NFL 23,"Aug 18, 2022",Mixed,51,3678,0.00,0,21,Everyone,N,N
theHunter: Call of the Wild™,"Feb 16, 2017",Very Positive,88,108618,$49.99,$53.90,164,Teen,N,N
Assetto Corsa Competizione - 2023 GT World Challenge Pack,"Apr 19, 2023",Very Positive,92,70,59.99,0,0,Everyone,Y,N
Undisputed,"Jan 31, 2023",Mostly Positive,78,6524,$29.99,0,23,No Rating,N,Y
Assetto Corsa,"Dec 19, 2014",Very Positive,92,71295,$79.99,$10.77,709,No Rating,N,N
Disney Speedstorm - Ultimate Founder’s Pack,"Apr 18, 2023",not Enough Reviews,0,5,$9.99,$69.99,0,No Rating,Y,N
Golf With Your Friends,"May 19, 2020",Very Positive,90,37882,0.00,$26.02,71,No Rating,N,N
Out of the Park Baseball 24,"Mar 24, 2023",Mostly Positive,77,217,69.99,$71.98,169,No Rating,N,N
Rec Room,"Jun 1, 2016",Very Positive,91,50474,8.99,0,0,Everyone 10+,N,N
The Crew™ 2,"Jun 28, 2018",Very Positive,83,54820,59.99,$9.99,34,Teen,N,N
Football Manager 2023,"Nov 7, 2022",Very Positive,87,8140,0.00,0,100,Everyone,N,N
Wreckfest,"Jun 14, 2018",Very Positive,86,25010,$17.99,$11.99,20,Teen,N,N
PGA TOUR 2K23,"Oct 13, 2022",Mixed,67,1354,0.00,$29.59,29,Everyone,N,N
Fishing Planet,"Aug 11, 2015",Very Positive,85,43132,0.00,$27.40,17,Everyone,N,N
CarX Drift Racing Online,"Nov 17, 2017",Overwhelmingly Positive,95,56279,17.99,$29.98,36,Everyone,N,N
Pinball FX3,"Sep 26, 2017",Very Positive,87,4361,54.99,$23.97,110,No Rating,N,N
Governor of Poker 3,"Feb 19, 2016",Mostly Positive,70,11766,29.99,0,31,Mature,N,N
Walkabout Mini Golf VR,"Jul 15, 2021",Overwhelmingly Positive,98,2019,0.00,$35.89,0,No Rating,N,N
MX vs ATV Legends,"Jun 28, 2022",Mixed,64,702,29.99,$79.82,40,Everyone,N,N
Need for Speed™ Unbound,"Dec 1, 2022",Mixed,64,10171,39.99,0,41,Teen,N,N
Golf It!,"Feb 17, 2017",Very Positive,90,17201,39.99,0,41,No Rating,N,Y
F1® 22,"Jun 30, 2022",Mixed,69,18161,16.99,0,50,Everyone,N,N
NASCAR Heat 5,"Jul 9, 2020",Very Positive,82,1841,20.00,$31.60,67,Everyone,N,N
Walkabout Mini Golf: Temple at Zerzura,"Apr 20, 2023",Positive,90,11,39.99,$35.89,0,No Rating,Y,N
eFootball™ 2023,"Sep 29, 2021",Mostly Negative,34,52231,0.00,0,0,Everyone,N,N
Session: Skate Sim,"Sep 22, 2022",Very Positive,85,9020,$17.99,$49.77,48,Teen,N,N
Liftoff®: FPV Drone Racing,"Sep 13, 2018",Very Positive,93,6625,$79.98,$41.36,34,No Rating,N,N
Turbo Golf Racing,"Aug 4, 2022",Very Positive,88,384,0.00,$8.99,30,No Rating,N,Y
3on3 FreeStyle: Rebound,"Jul 14, 2020",Mixed,62,2246,59.99,0,34,No Rating,N,N
Forza Horizon 5 Rally Adventure,"Mar 29, 2023",Mostly Negative,30,887,7.99,$49.35,0,Everyone,Y,N
DiRT Rally 2.0,"Feb 25, 2019",Very Positive,87,24857,3.99,$260.91,71,Everyone,N,N
theHunter Classic,"Jun 3, 2014",Mixed,55,39118,19.99,0,170,Teen,N,N
Assetto Corsa Competizione - American Track Pack,"Jun 30, 2022",Mostly Positive,76,75,59.99,0,0,Everyone,Y,N
CarX Drift Racing Online - Season Pass,"Feb 14, 2021",Very Positive,84,94,44.99,$29.98,0,Everyone,Y,N
F1® Manager 2022,"Aug 30, 2022",Mostly Positive,73,6689,$29.99,0,26,Everyone,N,N
rFactor 2,"Mar 28, 2013",Very Positive,80,5281,59.99,0,25,No Rating,N,N
Freestyle 2: Street Basketball,"Apr 1, 2015",Mostly Positive,73,12099,29.99,0,0,No Rating,N,N
Call of the Wild: The Angler™,"Aug 31, 2022",Mixed,55,3790,29.99,0,35,Everyone,N,N
Skater XL - The Ultimate Skateboarding Game,"Jul 28, 2020",Very Positive,86,17090,14.99,0,0,Everyone,N,N
Rival Stars Horse Racing: Desktop Edition,"Jun 24, 2020",Very Positive,91,2309,0.00,0,37,No Rating,N,N
Need for Speed™ Heat,"Nov 8, 2019",Very Positive,84,65514,11.99,$89.98,42,Teen,N,N
Hellish Quart,"Feb 16, 2021",Very Positive,92,4920,$29.99,0,0,No Rating,N,Y
