Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
War Thunder,"Aug 15, 2013",Mostly Positive,78,393183,0.00,0,53,Teen,N,N
Rust,"Feb 8, 2018",Very Positive,87,742156,$79.99,$74.65,90,No Rating,N,N
DREDGE,"Mar 30, 2023",Overwhelmingly Positive,96,7790,29.99,$35.06,40,No Rating,N,N
NBA 2K23,"Sep 8, 2022",Mixed,63,21663,69.99,$29.59,50,Everyone,N,N
The Sims™ 4,"Sep 2, 2014",Very Positive,87,95486,9.99,$49.67,0,Teen,N,N
Sons Of The Forest,"Feb 23, 2023",Very Positive,83,111256,0.00,0,28,No Rating,N,Y
Tom Clancy's Rainbow Six® Siege,"Dec 1, 2015",Very Positive,86,953798,$960.47,$53.95,0,Mature,N,N
EA SPORTS™ FIFA 23,"Sep 29, 2022",Mixed,51,84244,$69.98,0,39,Everyone,N,N
Black Desert,"May 24, 2017",Mostly Positive,76,46802,59.99,0,0,Teen,N,N
Yu-Gi-Oh! Master Duel,"Jan 18, 2022",Mostly Positive,76,59298,$24.99,0,11,Teen,N,N
Europa Universalis IV,"Aug 13, 2013",Very Positive,86,79185,19.99,$89.95,354,Teen,N,N
Call of Duty®: Black Ops III,"Nov 5, 2015",Very Positive,86,97215,$59.99,$962.60,98,Mature,N,N
Dota 2,"Jul 9, 2013",Very Positive,82,1968277,$49.99,$65.70,0,No Rating,N,N
Project Zomboid,"Nov 8, 2013",Very Positive,93,146842,14.99,$26.98,0,No Rating,N,Y
Microsoft Flight Simulator 40th Anniversary Edition,"Aug 17, 2020",Mostly Positive,78,44457,$39.99,0,43,Everyone,N,N
World of Warships,"Nov 15, 2017",Very Positive,80,119715,$29.99,$46.46,45,Teen,N,N
RimWorld,"Oct 17, 2018",Overwhelmingly Positive,98,133675,0.00,$99.96,0,No Rating,N,N
Europa Universalis IV: Domination,"Apr 18, 2023",Mixed,60,306,0.00,0,0,Teen,Y,N
Stellaris,"May 9, 2016",Very Positive,88,103127,$24.99,$89.95,163,Everyone 10+,N,N
Crusader Kings III,"Sep 1, 2020",Very Positive,92,58251,$199.98,$35.01,97,No Rating,N,N
Forza Horizon 4,"Mar 9, 2021",Very Positive,89,163255,$99.99,$19.79,178,Everyone,N,N
DayZ,"Dec 13, 2018",Mostly Positive,74,285535,$29.99,$53.08,13,Mature,N,N
DCS World Steam Edition,"Mar 18, 2018",Very Positive,86,27455,$16.99,$24.99,0,No Rating,N,N
Stardew Valley,"Feb 26, 2016",Overwhelmingly Positive,98,472870,$10.99,0,40,Everyone 10+,N,N
Farming Simulator 22,"Nov 21, 2021",Very Positive,90,33231,24.99,$31.99,45,Everyone,N,N
SnowRunner,"May 17, 2021",Very Positive,89,17707,19.99,$16.49,37,No Rating,N,N
VRChat,"Feb 1, 2017",Mostly Positive,72,194248,9.99,0,0,No Rating,N,Y
Cities: Skylines,"Mar 10, 2015",Very Positive,93,169125,$22.99,$80.74,124,Everyone,N,N
PUBG: BATTLEGROUNDS,"Dec 21, 2017",Mixed,57,2167676,$40.97,0,37,Teen,N,N
Rain World,"Mar 28, 2017",Very Positive,93,12241,$19.99,$11.24,34,No Rating,N,N
House Flipper,"May 17, 2018",Very Positive,93,65570,29.99,$85.44,86,No Rating,N,N
Disney Speedstorm,"Apr 18, 2023",Mixed,69,333,$24.99,$29.99,24,No Rating,N,Y
Hell Let Loose,"Jul 27, 2021",Very Positive,88,61928,$19.99,$67.42,158,No Rating,N,N
Forza Horizon 5,"Nov 8, 2021",Very Positive,88,105565,$39.99,$49.35,124,Everyone,N,N
WWE 2K23,"Mar 16, 2023",Mostly Positive,79,1183,39.99,$74.99,63,Teen,N,N
State of Decay 2: Juggernaut Edition,"Mar 13, 2020",Very Positive,83,36355,0.00,$14.99,153,Mature,N,N
American Truck Simulator,"Feb 2, 2016",Overwhelmingly Positive,96,100657,49.99,$60.22,87,No Rating,N,N
Havendock,"Apr 20, 2023",Very Positive,94,75,29.99,$15.29,0,No Rating,N,Y
Volcano Princess,"Apr 20, 2023",Overwhelmingly Positive,98,1084,24.99,$9.34,230,No Rating,N,N
BeamNG.drive,"May 29, 2015",Overwhelmingly Positive,97,157484,$34.99,0,4,No Rating,N,Y
Hearts of Iron IV,"Jun 6, 2016",Very Positive,92,163044,35.00,$171.76,171,No Rating,N,N
Raft,"Jun 20, 2022",Very Positive,93,224632,59.99,0,104,No Rating,N,N
iRacing,"Jan 12, 2015",Very Positive,83,1625,29.99,0,0,No Rating,N,N
Squad,"Sep 23, 2020",Very Positive,87,98483,$19.99,$72.23,0,No Rating,N,N
Survival: Fountain of Youth,"Apr 19, 2023",Very Positive,80,145,49.99,$20.69,29,No Rating,N,Y
Sid Meier’s Civilization® VI,"Oct 20, 2016",Very Positive,85,189334,59.99,$98.70,307,Everyone 10+,N,N
Sun Haven,"Mar 10, 2023",Very Positive,90,5497,12.99,$26.98,136,No Rating,N,N
Hush Hush - Only Your Love Can Save Them,"Apr 20, 2023",Overwhelmingly Positive,95,737,$24.99,$17.99,39,No Rating,N,N
GROUND BRANCH,"Aug 14, 2018",Very Positive,91,11610,22.99,0,0,No Rating,N,Y
Disney Dreamlight Valley,"Sep 6, 2022",Very Positive,94,10280,29.99,$69.98,0,Everyone,N,Y
Green Hell,"Sep 5, 2019",Very Positive,87,41710,19.99,$17.49,68,No Rating,N,N
Graveyard Keeper,"Aug 15, 2018",Very Positive,86,25310,$29.99,$3.99,125,No Rating,N,N
STAR WARS™: Squadrons,"Oct 1, 2020",Mostly Positive,70,21075,29.99,$5.99,47,Teen,N,N
Assetto Corsa Competizione,"May 29, 2019",Very Positive,91,17038,4.99,0,0,Everyone,N,N
IdleOn - The Idle MMO,"Apr 2, 2021",Very Positive,89,10845,24.99,0,61,No Rating,N,Y
EVERSPACE™ 2,"Apr 6, 2023",Very Positive,87,6573,$44.98,0,38,No Rating,N,N
Space Engineers,"Feb 28, 2019",Very Positive,89,78544,$39.98,$70.42,30,No Rating,N,N
Disney Speedstorm - Standard Founder’s Pack,"Apr 18, 2023",not Enough Reviews,0,3,$14.99,$29.99,0,No Rating,Y,N
Planet Zoo,"Nov 5, 2019",Very Positive,90,56839,$29.99,$158.80,38,Everyone 10+,N,N
Satisfactory,"Jun 8, 2020",Overwhelmingly Positive,97,111474,14.99,0,0,No Rating,N,Y
Coffee Talk Episode 2: Hibiscus & Butterfly,"Apr 20, 2023",Very Positive,99,133,$11.99,$25.18,53,No Rating,N,N
Garry's Mod,"Nov 29, 2006",Overwhelmingly Positive,96,811065,19.99,$101.62,29,No Rating,N,N
PAYDAY 2,"Aug 13, 2013",Very Positive,90,400579,$17.99,$19.63,1314,Mature,N,N
7 Days to Die,"Dec 13, 2013",Very Positive,88,176201,4.99,0,43,Mature,N,Y
